Co_Name,BSE Code,Stock Exchange,Shareholding Date[201612],Grand Total[201612],Market Cap[Latest]
JK Tyre & Indust,530007,Mumbai,31/12/2016,226813480,2753.52
JM Financial,523405,Mumbai,31/12/2016,793749788,5980.9
JP Associates,532532,Mumbai,31/12/2016,2432456975,3162.19
JP Power Ven.,532627,Mumbai,31/12/2016,2938003084,1806.87
JSW Energy,533148,Mumbai,31/12/2016,1640054795,10233.91
JSW Holdings,532642,Mumbai,31/12/2016,11099625,1659.01
JSW Steel,500228,Mumbai,31/12/2016,241722044,46326.03
Jubilant Food.,533155,Mumbai,31/12/2016,65949070,6077.87
Jubilant Life,530019,Mumbai,31/12/2016,159281139,11345.35
Just Dial,535648,Mumbai,31/12/2016,69503984,2678.21
Jyothy Lab.,532926,Mumbai,31/12/2016,181614004,6342.58
K C P,590066,Mumbai,31/12/2016,128921160,1142.24
K E C Intl.,532714,Mumbai,31/12/2016,257088370,3882.03
K P R Mill Ltd,532889,Mumbai,31/12/2016,75365784,4465.42
Kajaria Ceramics,500233,Mumbai,31/12/2016,158938000,9273.24
Kalpataru Power,522287,Mumbai,31/12/2016,153460570,4412.76
Kansai Nerolac,500165,Mumbai,31/12/2016,538919720,19126.26
Karnataka Bank,532652,Mumbai,31/12/2016,282605947,3395.27
Karur Vysya Bank,590003,Mumbai,31/12/2016,609322270,5362.04
Kaveri Seed Co.,532899,Mumbai,31/12/2016,69055095,3287.37
Kewal Kir.Cloth.,532732,Mumbai,31/12/2016,12325037,2176.25
Kitex Garments,521248,Mumbai,31/12/2016,47500000,2078.84
KNR Construct.,532942,Mumbai,31/12/2016,140617300,2626.73
Kolte Patil Dev.,532924,Mumbai,31/12/2016,75774909,813.77
Kotak Mah. Bank,500247,Mumbai,31/12/2016,1839261781,140782.28
KPIT Tech.,532400,Mumbai,31/12/2016,197498742,2617.85
KRBL,530813,Mumbai,31/12/2016,235389892,8847.13
KSB Pumps,500249,Mumbai,31/12/2016,34807844,2133.5
KSK Energy Ven.,532997,Mumbai,31/12/2016,423985774,720.78
L G Balakrishnan,500250,Mumbai,31/12/2016,15696208,922.54
L&T Fin.Holdings,533519,Mumbai,31/12/2016,1754946599,18382.41
La Opala RG,526947,Mumbai,31/12/2016,55500000,2754.19
Lak. Mach. Works,500252,Mumbai,31/12/2016,11266504,4214.42
Lak. Vilas Bank,534690,Mumbai,31/12/2016,179461609,2679.3
Lanco Infratech,532778,Mumbai,31/12/2016,2749326655,1113.48
Larsen & Toubro,500510,Mumbai,31/12/2016,932676944,138144.25
LIC Housing Fin.,500253,Mumbai,31/12/2016,504663000,28207.41
Linde India,523457,Mumbai,31/12/2016,85284223,3101.63
Lupin,500257,Mumbai,31/12/2016,451435710,67363.11
M & M,500520,Mumbai,31/12/2016,621092384,78301.12
M & M Fin. Serv.,532720,Mumbai,31/12/2016,568764960,16687.56
M R P L,500109,Mumbai,31/12/2016,1752598777,18463.64
Magma Fincorp,524000,Mumbai,31/12/2016,236933672,2473.59
Mah. Scooters,500266,Mumbai,31/12/2016,11428568,1968.59
Mah. Seamless,500265,Mumbai,31/12/2016,66999626,1854.88
Mahindra Holiday,533088,Mumbai,31/12/2016,88780856,4035.49
Mahindra Life.,532313,Mumbai,31/12/2016,41043550,1456.99
Marico,531642,Mumbai,31/12/2016,1290371198,32943.18
Marksans Pharma,524404,Mumbai,31/12/2016,409313698,1594.28
Maruti Suzuki,532500,Mumbai,31/12/2016,302080060,184735.51
Mayur Uniquote,522249,Mumbai,31/12/2016,45777600,1765.87
